asin,title,brand,amazon_subcategory,action,reason
B0DX7JCTT6,"bakuchiol retinol rejuvenation serum, anti-aging face serum hydrates skin, reduces wrinkles & fine lines, firms skin",atazua,face serums,REMOVE,Non-supplement category
B0F47VTGSN,"silicone pillow, face massage pillow face pillow cushion pad spa beauty salon skin care soft overlay face relax weigh cushion pad (blue)",estink,professional massage equipment,REMOVE,Non-supplement category
B0DYV8BKHY,"vilosatibetansingingbowlsetãmeditationsoundbowlhandcraftedinnepalwithstriker&2pccushion-enhancesyoga,meditation,prayermindfulness,andstressreliefuniquespiritualgifts(5.2)",vilosa,sound therapy & tuning forks,REMOVE,Non-supplement category
B0D9W7H2VN,"la fermiere hibiscus raspberry yogurt, 5.6 oz",la fermiere,yogurt,REMOVE,Non-supplement category
B0F48YTHV6,"siliconescarsheets-(1.6ãx60ã)scartaperollforc-section,surgery,tummytuck,keloids-invisible,reusable,medical-gradesiliconescarstripsforwomen&sensitiveskin",elbbub,wound & scar care,REMOVE,Non-supplement category
B003W0XMC8,blumenthal button shank remover,blumenthal lansing,makeup removers,REMOVE,Non-supplement category
B07B5NW3LB,vanta 112 razor black,yuaben,men's reusable razors,REMOVE,Non-supplement category
B0B9D4MM5Y,"hearing aid stethoscope, stethoscope for hearing air device professional high conductivity, binaural stethoscope hearing aid testing stethoscope headphone for home hospital(dark blue)",yosoo health gear,stethoscopes & accessories,REMOVE,Non-supplement category
B0DYYKZJ9P,brazilian yellow clay powder 227 g - natural  cosmetic clay powder for skin care face mask  soap making,hebhac herbs,face & sheet masks,REMOVE,Non-supplement category
B00JIW5W90,showman kids size 6-piece grooming kit (purple),showman,baby grooming & healthcare kits,REMOVE,Non-supplement category
B08249R3DT,walkingbelts walking belts llc - pftl590140 proform zt6 treadmill running belt sand blast +1oz lube,walkingbelts,treadmill accessories,REMOVE,Non-supplement category
B0B6HNQ6ST,double dong,matata,sex toys,REMOVE,Non-supplement category
B0F3XF36YF,"luer lock syringe 5ml - sterile disposable syringes without needles (50 pack), individual sealed packaging",lzhnb,fluid administration & collection,REMOVE,Non-supplement category
B0DXVBS3CR,"slowton dog surgery recovery suit - surgical onesie for female male dogs spay neuter, soft anti licking dog recovery bodysuit for abdominal wounds cone alternatives(brown,l)",slowton,pet recovery collars & suits,REMOVE,Non-supplement category
B07534S4HQ,precut kinesiology tape sport pro (20 pre cut 10 inch strips per roll) athletic recovery muscle support physio thewrapeutic aid (purple) (single roll),prairie horse supply,athletic & medical tape,REMOVE,Non-supplement category
B0CLYZV7XF,"complete natural products liver complete 16oz, gallbladder complete 16oz & kidney complete 16oz bundle",complete natural products,bar soaps,REMOVE,Non-supplement category
B0FD3C138L,"hicc pet nose balm for dog & cat, vet-recommended dogs snout soother to moisturizes repairs soothes dry cracked nose - lick safe dog nose daily care & protection with fermented coconut oil (0.21oz)",hicc pet,other dog health supplies,REMOVE,Non-supplement category
B07FJZ92MN,orris root | aromatic root | perfect for marinating game meats like lamb,burma spice,other spices,REMOVE,Non-supplement category
B0F321184C,"12.2 * 1.7 inch black double-ended realistic dildo, silicone long double-headed dildo",umania,sex toys,REMOVE,Non-supplement category
B0DSZV5FCW,"barking stopper dog calming powder for anxiety & stress relief - helps nervous dogs with noise, thunder, travel & separation - 60 count (1g per packet) - easy-mix calming treats & chews alternative",coleaze,pet relaxants,REMOVE,Non-supplement category
B081LFG6S4,iris eye tissue surgi forceps 4 inches 1x2 teeth straight stainless,g.s online store,surgical supplies & tools,REMOVE,Non-supplement category
B0F7848CK8,yoga column legs workouts yoga lower back half foam roller muscle back roller support muscles stick gym round legs pilates fitness equipment black,toddmomy,balance trainers,REMOVE,Non-supplement category
B0FDV4VJGD,dermafirm peptology niacinamide vitamin c ampoule - glass skin with 15% niacinamide brightening ampoule with glutathione for dark spot correction & radiance boost - korean skincare 30ml,dermafirm,other face treatments & care,REMOVE,Non-supplement category
B0CRKNCY5D,"happcucoe beauty nail salon pedicure stool height length adjustable,portable spa pedicure stool foot rest stool for beauty salons,spa (black)",happcucoe,salon chairs & stools,REMOVE,Non-supplement category
B0DXX8PSYY,revitalizingwhippedhemptallowãgrass-fed&grass-finishedtallowbalmwithbergamot&patchouliãhydratingface&bodymoisturizerwithorganichempseed&coconutoilãall-naturalskincare,hemp natural,body butters,REMOVE,Non-supplement category
B0FD41XD7D,"no poo chews for dogs - coprophagia deterrent - dog probiotics for digestive health with enzymes - canine stool eating deterrent - digestive, dental, gut & immune health treats - no poop eating",chewia,dog digestive remedies,REMOVE,Non-supplement category
B0F2JNBG5Z,"muse apothecary pillow ritual - aromatic, calming and relaxing pillow mist, linen and fabric spray - infused with natural aromatherapy essential oils - 8 oz, fresh snow, 2 pack",muse apothecary,aromatherapy & essential oils,REMOVE,Non-supplement category
B0DSBQKLFL,outdoor solar energy buddhist music player 53 in 1 machine rain proof (red),zjchao,sound therapy & tuning forks,REMOVE,Non-supplement category
B0F79V21TG,"black river barbershop x matte cream  premium men's hair styling cream  medium hold, natural matte finish, lightweight texture  water-based formula, easy wash out  4 oz",arcadian,hair styling creams & sprays,REMOVE,Non-supplement category
B08RMLXQFR,scentlight refill - christmas cookie,yankee candle,aromatherapy & essential oils,REMOVE,Non-supplement category
B0CS6J2YW7,"inflatable bounce house for kids, white bounce house with slide, jumping bouncy castle for kids birthday party, wedding, backyard indoor/outdoor purple (with blower)",fincome,inflatable bouncers,REMOVE,Non-supplement category
B08C5NX1ML,"koh-kae coffee flavor coated peanuts, (3 pack, total of 690g)",koh-kae,peanuts,REMOVE,Non-supplement category
B0C173H9J3,"zbx 30 pieces lash shampoo brushes eyelash extensions, nose pore deep cleaning brush peel off blackhead removing brush tool cosmetic facial cleansing brushes lash cleanser brush (a-silver-back)",zbx,face cleansing tools,REMOVE,Non-supplement category
B0DQQFHBNJ,"saki kohana damascus steel hair cutting shears, 61-63 hrc hardness, japanese convex blade",saki shears,hair cutting tools,REMOVE,Non-supplement category
B00X4PDXPW,bloodorangeessentialoil8floz(237ml)aluminumbottlew/plugcap100%pureessentialoilgreenhealth,greenhealth,aromatherapy & essential oils,REMOVE,Non-supplement category
B0FF4D1YD8,"sheglamstrongholdedgecontrolgelãnonãgreasy,waterãresistant,noflakesorwhitecastãinfusedwithcastor,jojoba&camelliaoilsãcranberryscentãsleekedges&frizzcontrolã2.5floz",sheglam,"hair gels, pomade & waxes",REMOVE,Non-supplement category
