asin,title,brand,amazon_subcategory,lookup_action,filter_reason,matched_keyword
B01MRLVQ7W,hqrp 4 natural rose quartz egg/sphere crystal mineral stand polished pink gemstone plate w/star of david decoration,hqrp,other alternative medicine,REMAP,Contains non-supplement keyword: 'gemstone',gemstone
B0814GLMNY,crystalmiracle golden pyrite 43 mm sphere crystal healing gemstone reiki feng shui home office gift energy cluster,crystalmiracle,other alternative medicine,REMAP,Contains non-supplement keyword: 'gemstone',gemstone
B08HSJ76JS,naturalmawsitsitjadebraceletâ9.5mmgreenhealingstonebeadsforwomenâheartcharmpendantâattractslove&goodluckâenergyspiritualjewelry,heavens tvcz,other alternative medicine,REMAP,Contains non-supplement keyword: 'jewelry',jewelry
B08JN3GKJQ,oil of youth essential oils 8oz - cinnamon bark essential oil - 8 fluid ounces,oil of youth,cbd & hemp extract products,REMAP,Contains non-supplement keyword: 'essential oil',essential oil
B094431VV9,lmdprajapatis certified unheated untreatet 7.25 ratti a+ quality hessonite garnet gomed loose gemstone for women's and men's,lmdprajapatis,other alternative medicine,REMAP,Contains non-supplement keyword: 'gemstone',gemstone
B098L5WQX9,"skullis 5.0 korea garnet crystal skull, hand carved gemstone fine art sculpture, reiki healing stone statue.2044",skullis,other alternative medicine,REMAP,Contains non-supplement keyword: 'gemstone',gemstone
B09BNLZ6M2,11.95 ct. 1 pc natural red ruby rough raw gemstone earth mined red ruby specimen crystal healing specimen ga-449,real-gems,other alternative medicine,REMAP,Contains non-supplement keyword: 'gemstone',gemstone
B09DYM7RR1,"4.25 ct red burmese spinel natural healing crystal loose gemstone for yoga, decoration, polishing, tumbling, healing",real-gems,other alternative medicine,REMAP,Contains non-supplement keyword: 'gemstone',gemstone
B09FFFJP3L,"shizam hydrolyzed bovine collagen biotin gummies with multi-vitamin c, e & zinc for hair growth-loss and strong nail. alternative for liquid drops, pills & keratin shampoo for women",shizam,"hair, skin & nails supplements",REMAP,Contains non-supplement keyword: 'shampoo',shampoo
B09MS24FT7,"portable nebulizer for kids, handheld nebulizer machine with 3 speed - rechargeable personal cool mist steam inhaler for adults travel and home use",bomenya,sinus medicine,REMAP,Contains non-supplement keyword: 'machine',machine
B09WN4JJZ8,1pcs tiger eye stone chakra car ornament tiger eye stone wall ornament reiki healing crystal gemstones chakra crystals healing stones hanging ornament for home car decoration good luck yoga meditation,lasenersm,other alternative medicine,REMAP,Contains non-supplement keyword: 'gemstone',gemstone
B09X2YV53M,justinstones 1 pair matrix rhodonite love heart shaped natural crystal healing love gemstone decoration with wood stand,justinstones,other alternative medicine,REMAP,Contains non-supplement keyword: 'gemstone',gemstone
B0B4P4RWPC,amazing gemstone nuummite crystal ball with stand - 2 inches crystal sphere meditation balls for witchcraft and decorative balls,amazing gemstone,other alternative medicine,REMAP,Contains non-supplement keyword: 'gemstone',gemstone
