asin,title,brand,amazon_subcategory,reason
B00RLGOBM4,at last naturals vaginal moisturizer gel 1.5 oz plant based with wild yam and vitamin e helps restore moisture and ph balance for feminine care paraben free non greasy long lasting hydration 1 pack,at last naturals,intimate moisturizers,Amazon subcategory not found in lookup table
B00T2DE6OM,"goodcleanloverestoreâ,moisturizingvaginalgel,2floz(59ml)",good clean love,intimate moisturizers,Amazon subcategory not found in lookup table
B07RYJHW53,four brothers 3/4 inch (0.75) chrome steel ball bearings for a paracord knot center (pack of 10),four brothers,wildlife encounter protection,Amazon subcategory not found in lookup table
B0C13PZBV1,hydro gyn vaginal moisturizer  long lasting for vaginal dryness & irritation  hyaluronic acid & vitamin e  feminine care hormone free  pre and post menopausal  3 pre filled applicators,terramed just think comfort,intimate moisturizers,Amazon subcategory not found in lookup table
B0DX8541Q6,"aloe cadabra vaginal moisturizer, ph-balanced, water-based & 95% aloe vera, reduce dryness, discomfort, versatile uses (2.5 fl oz (3 pack), unscented)",aloe cadabra,intimate moisturizers,Amazon subcategory not found in lookup table
B0DX8K2FXG,"aloe cadabra vaginal moisturizer, ph-balanced, water-based & 95% aloe vera, reduce dryness, discomfort, versatile uses (2.5 fl oz (2 pack), unscented)",aloe cadabra,intimate moisturizers,Amazon subcategory not found in lookup table
B0DX8KSKH3,"aloe cadabra vaginal moisturizer, ph-balanced, water-based & 95% aloe vera, reduce dryness, discomfort, versatile uses (2.5 fl oz (5 pack), unscented)",aloe cadabra,intimate moisturizers,Amazon subcategory not found in lookup table
B0DYKB4NSJ,"aloe cadabra vaginal moisturizer, ph-balanced, water-based & 95% aloe vera, reduce dryness, discomfort, versatile uses (5.5, natural aloe)",aloe cadabra,intimate moisturizers,Amazon subcategory not found in lookup table
B0F1TVMCS2,"procure vulva balm, 1.23 oz, intimate moisturizer with vitamin e & coconut oil, ph balance support and hormone free for feminine care and menopause support.",procure,intimate moisturizers,Amazon subcategory not found in lookup table
B0F7LT27M1,"jalanvaginaltighteningcreamâvaginalmoisturizergelhydratingformulawithcollagen,rosewater&birchsap,prefilledapplicatorsforskinelasticity&comfort-6countkit",jalan,intimate moisturizers,Amazon subcategory not found in lookup table
B0F8ZTK8WF,"vigority premium vaginal moisturizer gel - with hyaluronic acid long lasting relief for vaginal dryness, irritation & discomfort - 10 pre-filled single-use applicators (3g each)",vigority,intimate moisturizers,Amazon subcategory not found in lookup table
B0FH37S2ZZ,"neuevesalvegentleâexternalvaginalmoisturizerforwomenover70,hormone-freeintimateskincare,20gjar",neueve,intimate moisturizers,Amazon subcategory not found in lookup table
