asin,title,brand,amazon_subcategory,lookup_action,filter_reason,matched_keyword
260355151,"therapeutic pocket-book for homeopathic physicians: to be used at the beside of the patient, and in studying the materia medica pura (classic reprint)",forgotten books,single homeopathic remedies,REMAP,Contains non-supplement keyword: 'book',book
849340225,"handbook of vitamins, fourth edition",crc press,fat burners,REMAP,Contains non-supplement keyword: 'book',book
1515389758,"ketogenic diet cookbook: lose 10 lbs in 10 days! 20 delicious ketogenic recipes for healthy weight loss: keto diet for easy weight loss, diet ... ketogenic diet meal plan, fast weight loss)",createspace,weight loss diet kits & systems,REMAP,Contains non-supplement keyword: 'book',book
B00BZOKQ5O,stott pilates weight loss circuit training level 3 dvd,stott pilates,fat burners,REMAP,Contains non-supplement keyword: 'dvd',dvd
B077YF7VC8,"crystalmiracle beautiful calligraphy jasper dowsing cone pendulum healing crystals, metaphysical divination gemstone pendulum crystal reiki feng shui, meditation, gift for men women",crystalmiracle,other alternative medicine,REMAP,Contains non-supplement keyword: 'gemstone',gemstone
B07FD9XJFY,tea tree essential oil by velona - 8 fl oz  therapeutic grade for aromatherapy diffuser undiluted,velona,cough drops & lozenges,REMAP,Contains non-supplement keyword: 'essential oil',essential oil
B07HCQ4FGW,gemstone sphere (jade),kheops international,other alternative medicine,REMAP,Contains non-supplement keyword: 'gemstone',gemstone
B07TQ9XL8W,"wildessentialscoupleâsheartnecklaceessentialoildiffuserkit,lavender,lemongrass,peppermint,orangeoils,12refillpads,calmingaromatherapygiftset,customizablecolorchanging,perfume",messentials,cbd & hemp extract products,REMAP,Contains non-supplement keyword: 'perfume',perfume
B084X2HTV1,crystalmiracle fancy necklace healing fashion jewelry women men gift positive energy peace wellness meditation handcrafted accessory,crystalmiracle,other alternative medicine,REMAP,Contains non-supplement keyword: 'jewelry',jewelry
B08BC2Z27V,crystalmiracle garnet gemstone tree of life key chain crystal healing fashion accessory gift positive energy,crystalmiracle,other alternative medicine,REMAP,Contains non-supplement keyword: 'gemstone',gemstone
B08JN3GKJQ,oil of youth essential oils 8oz - cinnamon bark essential oil - 8 fluid ounces,oil of youth,cbd & hemp extract products,REMAP,Contains non-supplement keyword: 'essential oil',essential oil
B08Y5ST2C7,lilove wood carved chinese medicine buddha statue pendant key chain ring home decoration,lilove,other alternative medicine,REMAP,Contains non-supplement keyword: 'key chain',key chain
B094RB1BJV,lmdprajapatis 5.25 carat natural certified yellow saphire (pukhraj) loose gemstone,lmdprajapatis,other alternative medicine,REMAP,Contains non-supplement keyword: 'gemstone',gemstone
B09FSYHYBZ,fashewelry 90pcs transparent resin mini dice charms & gummy heart charms colorful candy love heart charm multicolor 3d cube dice pendants for diy jewelry supplies,fashewelry,elderberry herbal supplements,REMAP,Contains non-supplement keyword: 'jewelry',jewelry
B09HSG15QB,sharvgun gemstone clear quartz orgone pyramid eye of horus healing crystal generator orgonite pyramid yoga meditation crystal reki gift 70-75mm,sharvgun,other alternative medicine,REMAP,Contains non-supplement keyword: 'gemstone',gemstone
B09HSH3MRN,sharvgun gemstone green peridot orgone pyramid reiki chakra symbol healing crystal generator orgonite pyramid yoga meditation crystal reki gift 70-75mm,sharvgun,other alternative medicine,REMAP,Contains non-supplement keyword: 'gemstone',gemstone
B09HSHYMT9,sharvgun gemstone black tourmaline orgone pyramid shree yantra healing crystal generator orgonite pyramid yoga meditation crystal reki gift 70-75mm,sharvgun,other alternative medicine,REMAP,Contains non-supplement keyword: 'gemstone',gemstone
B09M8MRLQV,"sharvgun clear quartz yantra gemstone healing charge energy generator, 4 points gold plated metal spiral cones for meditation, balancing reiki crystals",sharvgun,other alternative medicine,REMAP,Contains non-supplement keyword: 'gemstone',gemstone
B09W9R62WQ,"masgemes gemstone crystal tree of life - natural amethyst geode cluster base, chakra healing crystals, positive energy bonsai money feng shui home decor for good luck gift, 10-12",masgemes,other alternative medicine,REMAP,Contains non-supplement keyword: 'gemstone',gemstone
B09WDQP184,lmdprajapatis 5.25 carat silver plated light green a+ quality natural peridot lab tested astrological gemstone adjustable ring for men or women's,lmdprajapatis,other alternative medicine,REMAP,Contains non-supplement keyword: 'gemstone',gemstone
B09YM43SLT,meditation kit - crystals and healing stones - tumbled crystals - 7 chakra stones - natural stones and crystals - polished stones - gemstone kits for healing,abhisubya,other alternative medicine,REMAP,Contains non-supplement keyword: 'gemstone',gemstone
B09YP7WC61,"masgemes chakra tree gemstone crystal treeof life,natural multi stone colorful tree with amethyst cluster base,positive energy healing crystals feng shui bonsai money tree,home office decor",masgemes,other alternative medicine,REMAP,Contains non-supplement keyword: 'gemstone',gemstone
B0B2HZYM8Y,fuqimanman2020 spiritual healing crystal natural stone bead bracelets handmade adjustable braided wax rope wish cards yoga reiki relax anxiety jewelry gifts for couple bff friendship jewelry (chakra),fuqimanman2020,other alternative medicine,REMAP,Contains non-supplement keyword: 'jewelry',jewelry
B0B3TJ513F,jewever 2pcs anklet bracelets for women 7 chakra healing crystals essential oils diffuser worry stone energy balancing meditation yoga gifts beach foot (lava stone & moonstone),jewever,other alternative medicine,REMAP,Contains non-supplement keyword: 'essential oil',essential oil
B0B5SZVX3W,massive beads natural chakra healing power crystals macrame bracelet yoga double layer stone beads gemstone meditation relax anxiety bangle for unisex women men,massive beads,other alternative medicine,REMAP,Contains non-supplement keyword: 'gemstone',gemstone
B0B9HS1KBT,"enzz temple chanting tool, portable buddha machine for home for office for travel for temple",enzz,other alternative medicine,REMAP,Contains non-supplement keyword: 'machine',machine
B0BCKKHJXS,"fiyo fluorite crystal stone, natural crystals gemstone healing fluorite egg healing crystal pocket massage jade fluorite healing crystal gemstone ball",fiyo,other alternative medicine,REMAP,Contains non-supplement keyword: 'gemstone',gemstone
B0BDR7Y455,linalife 1.5 elephant statue quartz healing crystal carved stones tiger's eye gemstone reiki gemstone crafts statues elephant gifts collectible decor for home office desk,linalife,other alternative medicine,REMAP,Contains non-supplement keyword: 'gemstone',gemstone
B0BFLJFCDW,unisex cabochon (4 * 6 mm) chrysoberyl 0.64 ct loose stone - natural chakra reiki polished pocket healing stones and crystal energy gemstones for meditation,gemshiner,other alternative medicine,REMAP,Contains non-supplement keyword: 'gemstone',gemstone
B0BGLTJ2FW,amazing gemstone apatite buddhist prayer beads japa mala with 108 meditation beads (hand knotted),amazing gemstone,other alternative medicine,REMAP,Contains non-supplement keyword: 'gemstone',gemstone
B0BGLWVJMX,amazing gemstone bronzite buddhist prayer beads japa mala with 108 meditation beads (hand knotted),amazing gemstone,other alternative medicine,REMAP,Contains non-supplement keyword: 'gemstone',gemstone
B0BKVTCWH3,"150pcs 8mm rose quartz beads,natural gemstone beads round loose beads for jewelry making energy healing power stones",asingeloo,other alternative medicine,REMAP,Contains non-supplement keyword: 'jewelry',jewelry
B0BLC2RD8S,"naturaltanzanitecrystalârawroughblue-violetgemstonemineralforcollectors,lapidary,jewelrymaking,ordisplayâuncuttanzanitestonespecimen-rgh261",gem avenue,other alternative medicine,REMAP,Contains non-supplement keyword: 'jewelry',jewelry
B0BLC5VPG4,natural raw rough tanzanite crystal gemstone 3 to 4 grams,gem avenue,other alternative medicine,REMAP,Contains non-supplement keyword: 'gemstone',gemstone
