asin,brand,title,amazon_subcategory,reasoning
260355151,forgotten books,"therapeutic pocket-book for homeopathic physicians: to be used at the beside of the patient, and in studying the materia medica pura (classic reprint)",single homeopathic remedies,Title keyword filter: 'book'
B001E0X7Z0,herbs for kids,"herbs for kids eldertussin syrup, 4 ounce - 3 per case.",cough syrups & liquids,Title keyword filter: 'syrup'
B00BZOKQ5O,stott pilates,stott pilates weight loss circuit training level 3 dvd,fat burners,Title keyword filter: 'dvd'
B017HAMT0E,ero,ero 50 ml backside anal tightening cream,intimate moisturizers,Title keyword filter: 'cream'
B01K6VRGHM,good medicine beauty lab,every little thing balm (4 oz.),non-aspirin pain relievers,Title keyword filter: 'balm'
B01LZO1D07,e de b,"essence de beaute collagen cream - 4 oz, face moisturizer for all skin tones, adult age range",collagen supplements,Title keyword filter: 'cream'
B01MXZZYFI,horze,horze womens desiree knee patch breeches - white/silver - 24,multivitamins,Title keyword filter: 'patch'
B077YF7VC8,crystalmiracle,"crystalmiracle beautiful calligraphy jasper dowsing cone pendulum healing crystals, metaphysical divination gemstone pendulum crystal reiki feng shui, meditation, gift for men women",other alternative medicine,Title keyword filter: 'gemstone'
B078YGRNPJ,remove,advil pain reliever/fever reducer liqui-gels 200mg - 20 ct  pack of 4,non-aspirin pain relievers,Title keyword filter: 'gel'
B07BSKX9DQ,celebrate bariatric supplements,"celebratevitaminsbariatric500mgcalciumcitratesoftchewswith500iuvitamind3âessentialforgastricbypasspatients&bonehealth-sugar&glutenfree,strawberrybananacream(90chews)",calcium vitamin d combination supplements,Title keyword filter: 'cream'
B07FD9XJFY,velona,tea tree essential oil by velona - 8 fl oz  therapeutic grade for aromatherapy diffuser undiluted,cough drops & lozenges,Title keyword filter: 'essential oil'
B07HCQ4FGW,kheops international,gemstone sphere (jade),other alternative medicine,Title keyword filter: 'gemstone'
B07JRC9BCG,shankar pharmacy,shankar pharmacy shankar pharmacy ulset syrup - 1 ml(1 ml (pack of 1) multicolour),cough syrups & liquids,Title keyword filter: 'syrup'
B07RR182CH,strive,"strive body and skin irritation cream | natural formula for wrist, hand, leg and more | 2 oz jar | made in the usa",other mineral supplements,Title keyword filter: 'cream'
B07TQ9XL8W,messentials,"wildessentialscoupleâsheartnecklaceessentialoildiffuserkit,lavender,lemongrass,peppermint,orangeoils,12refillpads,calmingaromatherapygiftset,customizablecolorchanging,perfume",cbd & hemp extract products,Title keyword filter: 'perfume'
B07VKSMD4K,kerala ayurveda,kerala ayurveda cervigest capsule- 90 countone free prakruthi ginger candy for each order.,other herbal supplements,Title keyword filter: 'candy'
B083M2DSG2,kaxilu,dr willmar schwabe india homoeopathic topi cardiospermum cream (25g),single homeopathic remedies,Title keyword filter: 'cream'
B083XG7BQ8,candykorner,candykorner champagne bubbles | champagne bubble gels,elderberry herbal supplements,Title keyword filter: 'gel'
B084X2HTV1,crystalmiracle,crystalmiracle fancy necklace healing fashion jewelry women men gift positive energy peace wellness meditation handcrafted accessory,other alternative medicine,Title keyword filter: 'jewelry'
B086H55F2S,biolabs pro,estrogen - all natural bioidentical estrogen bi-est 5.0 - hormone replacement menopause relief estrogen cream for women - estriol & estradiol - maximum strength - two month supply - 3oz,feminine menopause products,Title keyword filter: 'cream'
B08BC2Z27V,crystalmiracle,crystalmiracle garnet gemstone tree of life key chain crystal healing fashion accessory gift positive energy,other alternative medicine,Title keyword filter: 'gemstone'
B08JN3GKJQ,oil of youth,oil of youth essential oils 8oz - cinnamon bark essential oil - 8 fluid ounces,cbd & hemp extract products,Title keyword filter: 'essential oil'
B08Q3JZSKD,healthergize,"hemp variety set-premium hemp oil, hemp max cream, hemp gummies bears-made in usa",cbd & hemp extract products,Title keyword filter: 'cream'
B08QTWC3PH,multivitamin,intimate feminine moisturizing cream for vulva and vaginal dryness relief hydrating soothing balm with hyaluronic acid collagen natural ph balance hormone-free daily care for women 100ml/3.4 fl oz,intimate moisturizers,Title keyword filter: 'cream'
B08Y5ST2C7,lilove,lilove wood carved chinese medicine buddha statue pendant key chain ring home decoration,other alternative medicine,Title keyword filter: 'key chain'
B08YDYH8FD,maxhemp,2 pack organic hemp gummies 3000 extra strengthen high potency with pure hemp oil extract vegan edible bear candy fruit flavor made in us,cbd & hemp extract products,Title keyword filter: 'candy'
B094RB1BJV,lmdprajapatis,lmdprajapatis 5.25 carat natural certified yellow saphire (pukhraj) loose gemstone,other alternative medicine,Title keyword filter: 'gemstone'
B096928MJ4,trueseamoss,"trueseamoss sea moss gummies, contains irish sea moss, extract, burdock root, bladderwrack, seamoss gel gummies for, immune support, energy (pack of 5, seamoss)",other digestive supplements,Title keyword filter: 'gel'
B09FSYHYBZ,fashewelry,fashewelry 90pcs transparent resin mini dice charms & gummy heart charms colorful candy love heart charm multicolor 3d cube dice pendants for diy jewelry supplies,elderberry herbal supplements,Title keyword filter: 'jewelry'
B09GL8F524,spoonz,"spoonz sqwincher zero qwik stik - sugar free electrolyte powdered beverage mix, assorted flavors (40 sticks) with fog wipe",electrolyte drink mixes & supplements,Title keyword filter: 'wipe'
B09HSG15QB,sharvgun,sharvgun gemstone clear quartz orgone pyramid eye of horus healing crystal generator orgonite pyramid yoga meditation crystal reki gift 70-75mm,other alternative medicine,Title keyword filter: 'gemstone'
B09HSH3MRN,sharvgun,sharvgun gemstone green peridot orgone pyramid reiki chakra symbol healing crystal generator orgonite pyramid yoga meditation crystal reki gift 70-75mm,other alternative medicine,Title keyword filter: 'gemstone'
B09HSHYMT9,sharvgun,sharvgun gemstone black tourmaline orgone pyramid shree yantra healing crystal generator orgonite pyramid yoga meditation crystal reki gift 70-75mm,other alternative medicine,Title keyword filter: 'gemstone'
B09JY9BKZD,orca beauty,"biotin hair growth serum, biotin for hair growth oil, biotin hair oil - biotin oil, natural dht blocker hair serum for hair growth, anti-thinning liquid biotin hair growth serum women (2oz)","hair, skin & nails supplements",Title keyword filter: 'serum'
B09M8MRLQV,sharvgun,"sharvgun clear quartz yantra gemstone healing charge energy generator, 4 points gold plated metal spiral cones for meditation, balancing reiki crystals",other alternative medicine,Title keyword filter: 'gemstone'
B09NC8KMFZ,goliate,"goliate intimate balm - soothing care - enriched with calendula and vitamin e  vegan, organic - moisturizing - woman - dryness, menopause - made in france - 15 ml",menopause care products,Title keyword filter: 'balm'
B09QB23QS2,trueseamoss,"trueseamoss raw irish sea moss - makes 100oz of sea moss gel - wildcrafted seamoss dried whole superfood - for skin, hair, digestion - natural 8oz pack",other digestive supplements,Title keyword filter: 'gel'
B09QB6YW51,trueseamoss,trueseamoss sea moss raw gold - organic wildcrafted irish sea moss for digestion and skin health - makes 200 oz of gel - sundried 16oz,other digestive supplements,Title keyword filter: 'gel'
B09W9R62WQ,masgemes,"masgemes gemstone crystal tree of life - natural amethyst geode cluster base, chakra healing crystals, positive energy bonsai money feng shui home decor for good luck gift, 10-12",other alternative medicine,Title keyword filter: 'gemstone'
B09WDQP184,lmdprajapatis,lmdprajapatis 5.25 carat silver plated light green a+ quality natural peridot lab tested astrological gemstone adjustable ring for men or women's,other alternative medicine,Title keyword filter: 'gemstone'
B09YM43SLT,abhisubya,meditation kit - crystals and healing stones - tumbled crystals - 7 chakra stones - natural stones and crystals - polished stones - gemstone kits for healing,other alternative medicine,Title keyword filter: 'gemstone'
B09YP7WC61,masgemes,"masgemes chakra tree gemstone crystal treeof life,natural multi stone colorful tree with amethyst cluster base,positive energy healing crystals feng shui bonsai money tree,home office decor",other alternative medicine,Title keyword filter: 'gemstone'
B0B2HZYM8Y,fuqimanman2020,fuqimanman2020 spiritual healing crystal natural stone bead bracelets handmade adjustable braided wax rope wish cards yoga reiki relax anxiety jewelry gifts for couple bff friendship jewelry (chakra),other alternative medicine,Title keyword filter: 'jewelry'
B0B2JX8KF7,maxhemp,"4 pack organic hemp gummies 500,000 extra strengthen high potency with pure hemp oil extract vegan edible bear candy made in us",cbd & hemp extract products,Title keyword filter: 'candy'
B0B3TJ513F,jewever,jewever 2pcs anklet bracelets for women 7 chakra healing crystals essential oils diffuser worry stone energy balancing meditation yoga gifts beach foot (lava stone & moonstone),other alternative medicine,Title keyword filter: 'essential oil'
B0B5SZVX3W,massive beads,massive beads natural chakra healing power crystals macrame bracelet yoga double layer stone beads gemstone meditation relax anxiety bangle for unisex women men,other alternative medicine,Title keyword filter: 'gemstone'
B0B9HS1KBT,enzz,"enzz temple chanting tool, portable buddha machine for home for office for travel for temple",other alternative medicine,Title keyword filter: 'machine'
B0BCKKHJXS,fiyo,"fiyo fluorite crystal stone, natural crystals gemstone healing fluorite egg healing crystal pocket massage jade fluorite healing crystal gemstone ball",other alternative medicine,Title keyword filter: 'gemstone'
B0BDR7Y455,linalife,linalife 1.5 elephant statue quartz healing crystal carved stones tiger's eye gemstone reiki gemstone crafts statues elephant gifts collectible decor for home office desk,other alternative medicine,Title keyword filter: 'gemstone'
B0BFLJFCDW,gemshiner,unisex cabochon (4 * 6 mm) chrysoberyl 0.64 ct loose stone - natural chakra reiki polished pocket healing stones and crystal energy gemstones for meditation,other alternative medicine,Title keyword filter: 'gemstone'
B0BFYKNSGS,phoenix nutritionals,"high vitality multivitamin and mineral full spectrum gel easy swallow caps absorption potency liquid essential nutrient hair, skin, nails, adrenal, brain support blend, 120.0 count",multivitamins,Title keyword filter: 'gel'
B0BGLTJ2FW,amazing gemstone,amazing gemstone apatite buddhist prayer beads japa mala with 108 meditation beads (hand knotted),other alternative medicine,Title keyword filter: 'gemstone'
B0BGLWVJMX,amazing gemstone,amazing gemstone bronzite buddhist prayer beads japa mala with 108 meditation beads (hand knotted),other alternative medicine,Title keyword filter: 'gemstone'
B0BKVTCWH3,asingeloo,"150pcs 8mm rose quartz beads,natural gemstone beads round loose beads for jewelry making energy healing power stones",other alternative medicine,Title keyword filter: 'jewelry'
B0BLC2RD8S,gem avenue,"naturaltanzanitecrystalârawroughblue-violetgemstonemineralforcollectors,lapidary,jewelrymaking,ordisplayâuncuttanzanitestonespecimen-rgh261",other alternative medicine,Title keyword filter: 'jewelry'
B0BLC5VPG4,gem avenue,natural raw rough tanzanite crystal gemstone 3 to 4 grams,other alternative medicine,Title keyword filter: 'gemstone'
B0BM4TQ7RJ,healthergize,"healthergize hemp gummies premium-delicious cherry twins-natural hemp candy-for sleep, relax, calm, chill, party, discomfort-made in usa",cbd & hemp extract products,Title keyword filter: 'candy'
B0BN1YZBK2,crow,"crow manoll syrup natural health tonic, 400 g",cough syrups & liquids,Title keyword filter: 'syrup'
B0BPPYW31W,goldy,goldy amrita bindu syrup 120ml,cough syrups & liquids,Title keyword filter: 'syrup'
B0BT9WJBV4,subsh,subsh labradorite crystal ball - crystal sphere - gemstone ball with stand - healing crystal ball - gazing ball with stand - sphere gifts - large crystal ball - home decor,other alternative medicine,Title keyword filter: 'gemstone'
B0BTMBSG2M,subsh,subsh rainbow moonstone tumble gemstone - chakra healing crystals - smooth stones - stone essentials - rocks and crystals - polished rocks large - gem stone kit - witchy gifts (10 pcs),other alternative medicine,Title keyword filter: 'gemstone'
B0BTMC4D1Y,subsh,subsh lepidolite tumbled stones and crystals bulk - healing stones - pointy rocks - pack of crystals rocks - recover gemstone - rocks polished - smooth stones - spiritual gemstones (10 pcs),other alternative medicine,Title keyword filter: 'gemstone'
B0BTMCL3N8,subsh,subsh citrine tumble gemstone - smooth crystal stone - healing crystals set - bundle of crystals - meditation accessories - cool rocks - crystal sets for healing - spiritual gifts (10 pcs),other alternative medicine,Title keyword filter: 'gemstone'
B0BTMD6SHM,subsh,subsh green jade natural gemstones - tumbled crystals - smooth stones - positive crystals - small crystals bulk - stone chakra set - healing reiki crystals - stone to decoration (10 pcs),other alternative medicine,Title keyword filter: 'gemstone'
B0BTPDJBLK,naribabu,tiger eye crystal - vector pendulum - healing crystals and stones - spiritual pendulum - chakra crystals pendulum - divination crystals - gemstones and crystals - reiki crystals and healing stones,other alternative medicine,Title keyword filter: 'gemstone'
B0BTPFHY42,naribabu,"naribabu lapis lazuli tree, crystal for positive energy, feng shui stones, spiritual gifts, gemstone bonsai, tree of life decor, good luck gems",other alternative medicine,Title keyword filter: 'gemstone'
B0BTRV726T,justinstones,hand carved pines nut pines cones filbert healing crystals natural gemstone amulets reiki pendant necklace 22 inch,other alternative medicine,Title keyword filter: 'gemstone'
B0BTT93CYN,subsh,subsh golden pyrite crystals and healing stones - polished moldavite - tumble gemstone - crystal set - decorative rocks - gem stones rocks crystals - boji stones pair - reiki supplies,other alternative medicine,Title keyword filter: 'gemstone'
B0BTVNVDHZ,subsh,"sodalite crystal, raw crystals bulk, healing crystals, metaphysical supplies, sodalite, crystal, raw rocks, raw gemstones, gemstones for tumbling, stones and crystals from india, sodalite raw 1lb",other alternative medicine,Title keyword filter: 'gemstone'
B0BTVPNXJV,subsh,"black tourmaline, rough crystals and stones, healing crystals, tourmaline, crystal set, authentic gemstones, gemstones for crafts, precious gemstones, spiritual stones, raw stones, tourmaline crystal",other alternative medicine,Title keyword filter: 'gemstone'
