Product_ID,ASIN/UPC Key,MI: Brand,MI: Description,Source Category Trx,Source Subcategory Trx,Dollars in USD
1,B0DX7JCTT6,ATAZUA,"BAKUCHIOL RETINOL REJUVENATION SERUM, ANTI-AGING FACE SERUM HYDRATES SKIN, REDUCES WRINKLES & FINE LINES, FIRMS SKIN",FACE SKIN CARE,FACE SERUMS,
2,B0F47VTGSN,ESTINK,"SILICONE PILLOW, FACE MASSAGE PILLOW FACE PILLOW CUSHION PAD SPA BEAUTY SALON SKIN CARE SOFT OVERLAY FACE RELAX WEIGH CUSHION PAD (BLUE)",SALON & SPA EQUIPMENT,PROFESSIONAL MASSAGE EQUIPMENT,
3,B0DYV8BKHY,VILOSA,"VILOSATIBETANSINGINGBOWLSETÂMEDITATIONSOUNDBOWLHANDCRAFTEDINNEPALWITHSTRIKER&2PCCUSHION-ENHANCESYOGA,MEDITATION,PRAYERMINDFULNESS,ANDSTRESSRELIEFUNIQUESPIRITUALGIFTS(5.2)",ALTERNATIVE MEDICINE,SOUND THERAPY & TUNING FORKS,
4,B0CRSR8NZ4,LIQUIDHEALTH,"LIQUIDHEALTH ULTIMATE BARIATRIC LIQUID VITAMIN SUPPLEMENT BUNDLE - DAILY BARIATRIC MULTIVITAMIN WITH IRON, CALCIUM, MAGNESIUM, VEGAN VITAMIN D3 & ORGANIC B12 - BARIATRIC SURGERY MUST HAVES, USA MADE",MULTIVITAMINS,MULTIVITAMINS,24179.37
5,B0F94G1PLD,LIVORKA,"(2 PACK) PRESGERA CAPSULES - PRESGERA SUPPLEMENTS PILLS ADVANCED FORMULA FOR WELLNESS & HEALTH SUPPORT, ALL NATURAL PREMIUM VITAMIN NATURAL INGREDIENTS PASTILLAS REVIEWS, 120 CAPSULES FOR 2 MONTHS",HERBAL SUPPLEMENTS,OTHER HERBAL SUPPLEMENTS,
6,B0D9W7H2VN,LA FERMIERE,"LA FERMIERE HIBISCUS RASPBERRY YOGURT, 5.6 OZ",DAIRY FOODS,YOGURT,483.3
7,B0F48YTHV6,ELBBUB,"SILICONESCARSHEETS-(1.6ÂX60Â)SCARTAPEROLLFORC-SECTION,SURGERY,TUMMYTUCK,KELOIDS-INVISIBLE,REUSABLE,MEDICAL-GRADESILICONESCARSTRIPSFORWOMEN&SENSITIVESKIN",FIRST AID,WOUND & SCAR CARE,
8,B0DT98X7C5,GPGP GREENPEOPLE,"GPGPGREENPEOPLEMELATONIN5MGEXTRASTRENGTHADULTEXTRASTRENGTHSUPPLEMENT,SLEEPAIDWITHASHWAGANDHA,SAFFRONLTHEANINE,VALERIANROOT,GABA-120SLEEPINGCAPSULES",SLEEP & SNORING,MEDICINAL SLEEP AIDS,
9,B003W0XMC8,BLUMENTHAL LANSING,BLUMENTHAL BUTTON SHANK REMOVER,FACE SKIN CARE,MAKEUP REMOVERS,
10,B07661Z3YX,DOCTOR'S BEST,"DOCTOR'S BEST HIGH ABSORPTION COQ10 WITH BIOPERINE, GLUTEN FREE, NATURALLY FERMENTED, HEART HEALTH, ENERGY PRODUCTION,100 MG, 120 COUNT",SUPPLEMENTS,ANTIOXIDANTS,
11,B07B5NW3LB,YUABEN,VANTA 112 RAZOR BLACK,MEN'S SHAVING TOOLS,MEN'S REUSABLE RAZORS,
12,B0B9D4MM5Y,YOSOO HEALTH GEAR,"HEARING AID STETHOSCOPE, STETHOSCOPE FOR HEARING AIR DEVICE PROFESSIONAL HIGH CONDUCTIVITY, BINAURAL STETHOSCOPE HEARING AID TESTING STETHOSCOPE HEADPHONE FOR HOME HOSPITAL(DARK BLUE)",HEALTH DIAGNOSTIC & EXAMINATION EQUIPMENT,STETHOSCOPES & ACCESSORIES,
13,B00ORTRKRG,S & J'S TACKLE BOX,1/2 OZ BALL STYLE LEAD DROP SHOT WEIGHTS HAND POURED (100 PER PACK) S & J'S TACKLE BOX,ENERGY DRINKS & SHOTS,ENERGY SHOTS,
14,B0DYYKZJ9P,HEBHAC HERBS,BRAZILIAN YELLOW CLAY POWDER 227 G - NATURAL  COSMETIC CLAY POWDER FOR SKIN CARE FACE MASK  SOAP MAKING,FACE SKIN CARE,FACE & SHEET MASKS,
15,B00JIW5W90,SHOWMAN,SHOWMAN KIDS SIZE 6-PIECE GROOMING KIT (PURPLE),BABY HEALTH & GROOMING,BABY GROOMING & HEALTHCARE KITS,18.95
16,B08249R3DT,WALKINGBELTS,WALKINGBELTS WALKING BELTS LLC - PFTL590140 PROFORM ZT6 TREADMILL RUNNING BELT SAND BLAST +1OZ LUBE,FITNESS EQUIPMENT & ACCESSORIES,TREADMILL ACCESSORIES,129.99
17,B0B6HNQ6ST,MATATA,DOUBLE DONG,SEXUAL WELLNESS,SEX TOYS,
18,B0F3XF36YF,LZHNB,"LUER LOCK SYRINGE 5ML - STERILE DISPOSABLE SYRINGES WITHOUT NEEDLES (50 PACK), INDIVIDUAL SEALED PACKAGING",MEDICAL & HEALTHCARE SUPPLIES,FLUID ADMINISTRATION & COLLECTION,13.99
19,B0DXVBS3CR,SLOWTON,"SLOWTON DOG SURGERY RECOVERY SUIT - SURGICAL ONESIE FOR FEMALE MALE DOGS SPAY NEUTER, SOFT ANTI LICKING DOG RECOVERY BODYSUIT FOR ABDOMINAL WOUNDS CONE ALTERNATIVES(BROWN,L)",PET HEALTH SUPPLIES,PET RECOVERY COLLARS & SUITS,
20,B0DWH2V3X5,BRONSON,"BRONSON ELDERBERRY EXTRA STRENGTH, SUPPORTS HEALTHY IMMUNE SYSTEM & ANTIOXIDANT PROTECTION, NON GMO, 90 VEGETARIAN CAPSULES",HERBAL SUPPLEMENTS,ELDERBERRY HERBAL SUPPLEMENTS,33.72
21,B07534S4HQ,PRAIRIE HORSE SUPPLY,PRECUT KINESIOLOGY TAPE SPORT PRO (20 PRE CUT 10 INCH STRIPS PER ROLL) ATHLETIC RECOVERY MUSCLE SUPPORT PHYSIO THEWRAPEUTIC AID (PURPLE) (SINGLE ROLL),FIRST AID,ATHLETIC & MEDICAL TAPE,
22,B0CLYZV7XF,COMPLETE NATURAL PRODUCTS,"COMPLETE NATURAL PRODUCTS LIVER COMPLETE 16OZ, GALLBLADDER COMPLETE 16OZ & KIDNEY COMPLETE 16OZ BUNDLE",BATH & BODY CARE,BAR SOAPS,
23,B0FD3C138L,HICC PET,"HICC PET NOSE BALM FOR DOG & CAT, VET-RECOMMENDED DOGS SNOUT SOOTHER TO MOISTURIZES REPAIRS SOOTHES DRY CRACKED NOSE - LICK SAFE DOG NOSE DAILY CARE & PROTECTION WITH FERMENTED COCONUT OIL (0.21OZ)",PET HEALTH SUPPLIES,OTHER DOG HEALTH SUPPLIES,7.99
24,B07FJZ92MN,BURMA SPICE,ORRIS ROOT | AROMATIC ROOT | PERFECT FOR MARINATING GAME MEATS LIKE LAMB,SINGLE SPICES,OTHER SPICES,
25,B0F321184C,UMANIA,"12.2 * 1.7 INCH BLACK DOUBLE-ENDED REALISTIC DILDO, SILICONE LONG DOUBLE-HEADED DILDO",SEXUAL WELLNESS,SEX TOYS,
26,B0DSZV5FCW,COLEAZE,"BARKING STOPPER DOG CALMING POWDER FOR ANXIETY & STRESS RELIEF - HELPS NERVOUS DOGS WITH NOISE, THUNDER, TRAVEL & SEPARATION - 60 COUNT (1G PER PACKET) - EASY-MIX CALMING TREATS & CHEWS ALTERNATIVE",PET HEALTH SUPPLIES,PET RELAXANTS,421.65
27,B081LFG6S4,G.S ONLINE STORE,IRIS EYE TISSUE SURGI FORCEPS 4 INCHES 1X2 TEETH STRAIGHT STAINLESS,MEDICAL & HEALTHCARE SUPPLIES,SURGICAL SUPPLIES & TOOLS,
28,B0F7848CK8,TODDMOMY,YOGA COLUMN LEGS WORKOUTS YOGA LOWER BACK HALF FOAM ROLLER MUSCLE BACK ROLLER SUPPORT MUSCLES STICK GYM ROUND LEGS PILATES FITNESS EQUIPMENT BLACK,FITNESS EQUIPMENT & ACCESSORIES,BALANCE TRAINERS,
29,B0FDV4VJGD,DERMAFIRM,DERMAFIRM PEPTOLOGY NIACINAMIDE VITAMIN C AMPOULE - GLASS SKIN WITH 15% NIACINAMIDE BRIGHTENING AMPOULE WITH GLUTATHIONE FOR DARK SPOT CORRECTION & RADIANCE BOOST - KOREAN SKINCARE 30ML,FACE SKIN CARE,OTHER FACE TREATMENTS & CARE,69.12
30,B0CRKNCY5D,HAPPCUCOE,"HAPPCUCOE BEAUTY NAIL SALON PEDICURE STOOL HEIGHT LENGTH ADJUSTABLE,PORTABLE SPA PEDICURE STOOL FOOT REST STOOL FOR BEAUTY SALONS,SPA (BLACK)",SALON & SPA EQUIPMENT,SALON CHAIRS & STOOLS,156.0
31,B077XK525F,URENUS,"ABROTANUM 6C HOMEOPATHIC REMEDY, URENUS",ALTERNATIVE MEDICINE,SINGLE HOMEOPATHIC REMEDIES,223.82
32,B0DXX8PSYY,HEMP NATURAL,REVITALIZINGWHIPPEDHEMPTALLOWÂGRASS-FED&GRASS-FINISHEDTALLOWBALMWITHBERGAMOT&PATCHOULIÂHYDRATINGFACE&BODYMOISTURIZERWITHORGANICHEMPSEED&COCONUTOILÂALL-NATURALSKINCARE,BATH & BODY CARE,BODY BUTTERS,
33,B0FD41XD7D,CHEWIA,"NO POO CHEWS FOR DOGS - COPROPHAGIA DETERRENT - DOG PROBIOTICS FOR DIGESTIVE HEALTH WITH ENZYMES - CANINE STOOL EATING DETERRENT - DIGESTIVE, DENTAL, GUT & IMMUNE HEALTH TREATS - NO POOP EATING",PET HEALTH SUPPLIES,DOG DIGESTIVE REMEDIES,16896.73
34,B0F2JNBG5Z,MUSE APOTHECARY,"MUSE APOTHECARY PILLOW RITUAL - AROMATIC, CALMING AND RELAXING PILLOW MIST, LINEN AND FABRIC SPRAY - INFUSED WITH NATURAL AROMATHERAPY ESSENTIAL OILS - 8 OZ, FRESH SNOW, 2 PACK",ALTERNATIVE MEDICINE,AROMATHERAPY & ESSENTIAL OILS,
35,B0FD1WF2HJ,NUTRICOST,"NUTRICOST RED CLOVER BLOSSOMS SUPPLEMENT (5000 MG EQUIVALENT) 120 CAPSULES - RED CLOVER EXTRACT, VEGAN",HERBAL SUPPLEMENTS,OTHER HERBAL SUPPLEMENTS,342.0
36,B0DSBQKLFL,ZJCHAO,OUTDOOR SOLAR ENERGY BUDDHIST MUSIC PLAYER 53 IN 1 MACHINE RAIN PROOF (RED),ALTERNATIVE MEDICINE,SOUND THERAPY & TUNING FORKS,
37,B0F79V21TG,ARCADIAN,"BLACK RIVER BARBERSHOP X MATTE CREAM  PREMIUM MEN'S HAIR STYLING CREAM  MEDIUM HOLD, NATURAL MATTE FINISH, LIGHTWEIGHT TEXTURE  WATER-BASED FORMULA, EASY WASH OUT  4 OZ",HAIR STYLING PRODUCTS,HAIR STYLING CREAMS & SPRAYS,
38,B08RMLXQFR,YANKEE CANDLE,SCENTLIGHT REFILL - CHRISTMAS COOKIE,ALTERNATIVE MEDICINE,AROMATHERAPY & ESSENTIAL OILS,
39,B0CS6J2YW7,FINCOME,"INFLATABLE BOUNCE HOUSE FOR KIDS, WHITE BOUNCE HOUSE WITH SLIDE, JUMPING BOUNCY CASTLE FOR KIDS BIRTHDAY PARTY, WEDDING, BACKYARD INDOOR/OUTDOOR PURPLE (WITH BLOWER)",PLAY EQUIPMENT,INFLATABLE BOUNCERS,7181.73
40,B08C5NX1ML,KOH-KAE,"KOH-KAE COFFEE FLAVOR COATED PEANUTS, (3 PACK, TOTAL OF 690G)",NUTS & SEEDS,PEANUTS,
41,B083JP1G11,BACC OFF,"BACCOFF, PREMIUM FLAVORED COFFEE POUCHES, NO TOBACCO DIP, NO NICOTINE SMOKELESS ALTERNATIVE SNUFF, 50 MG OF CAFFEINE PER SERVING, VANILLA (5 CANS)",ENERGY SUPPLEMENTS,ENERGY CHEWS & GELS,584.78
42,B0C173H9J3,ZBX,"ZBX 30 PIECES LASH SHAMPOO BRUSHES EYELASH EXTENSIONS, NOSE PORE DEEP CLEANING BRUSH PEEL OFF BLACKHEAD REMOVING BRUSH TOOL COSMETIC FACIAL CLEANSING BRUSHES LASH CLEANSER BRUSH (A-SILVER-BACK)",SKIN CARE TOOLS & ACCESSORIES,FACE CLEANSING TOOLS,
43,B0DQQFHBNJ,SAKI SHEARS,"SAKI KOHANA DAMASCUS STEEL HAIR CUTTING SHEARS, 61-63 HRC HARDNESS, JAPANESE CONVEX BLADE",SALON & SPA EQUIPMENT,HAIR CUTTING TOOLS,684.0
44,B00X4PDXPW,GREENHEALTH,BLOODORANGEESSENTIALOIL8FLOZ(237ML)ALUMINUMBOTTLEW/PLUGCAP100%PUREESSENTIALOILGREENHEALTH,ALTERNATIVE MEDICINE,AROMATHERAPY & ESSENTIAL OILS,6636.48
45,B0FF4D1YD8,SHEGLAM,"SHEGLAMSTRONGHOLDEDGECONTROLGELÂNONÂGREASY,WATERÂRESISTANT,NOFLAKESORWHITECASTÂINFUSEDWITHCASTOR,JOJOBA&CAMELLIAOILSÂCRANBERRYSCENTÂSLEEKEDGES&FRIZZCONTROLÂ2.5FLOZ",HAIR STYLING PRODUCTS,"HAIR GELS, POMADE & WAXES",8.99
46,B0DGGQ3XL8,TANTALY,TANTALY 40.3 LB SEX DOLL FOR MEN LIFE SIZE LOVE DOLL WITH 3D 3 IN 1 TIGHT VAGINAL ANAL BREAST LIFELIKE BIG BOOBS AND BUTT FOR ADULT SEX TOY MALE MASTURBATOR FOR MEN REALISTIC MONICA (WHEAT) 2.0,SEXUAL WELLNESS,SEX TOYS,
47,B0F9CNJ4PF,LITTLE SQUIRT SYRUP PUMP,"COFFEE SYRUP, ALMOND ORGEAT FLAVORED SYRUP FOR DRINKS, PUMP INCLUDED, 25.4 FL OZ",BEVERAGE MIXERS & ADDITIVES,FLAVORED SYRUPS,
48,B0FDH4WMJY,IDEAL PERFORMANCE,"BLOOD FLOW SUPPLEMENT CAPSULES, OFFICIAL BLOODFLOW ADVANCED BLOOD FORMULA SUPPLEMENT PILLS - MAXIMUM STRENGTH, ALL NATURAL HEALTHY CIRCULATION & STABLE LEVELS, BLOOD FLOW HEALTH REVIEWS (2 PACK)",SUPPLEMENTS,OTHER DIETARY SUPPLEMENTS,49.95
