[2026-01-01T02:29:50.285020] RUN START: uncoded_amz_2025_p7 | Run: run_1
[2026-01-01T02:29:50.288817] ================================================================================
[2026-01-01T02:29:50.288881] STARTING PRODUCTION ORCHESTRATOR
[2026-01-01T02:29:50.288924] ================================================================================
[2026-01-01T02:29:50.288960] Input file: data/input/uncoded_amz_2025_p7.csv
[2026-01-01T02:29:50.288996] Total records: 35311
[2026-01-01T02:29:50.289030] Max workers: 5
[2026-01-01T02:29:50.289068] Batch size: 100
[2026-01-01T02:29:50.289101] File ID: amz_2025_p7
[2026-01-01T02:29:50.289131] Run ID: run_1
[2026-01-01T02:29:50.337635] Batch 1 complete: 100 products processed
[2026-01-01T02:29:50.361868] Batch 2 complete: 100 products processed
[2026-01-01T02:29:50.385788] Batch 3 complete: 100 products processed
[2026-01-01T02:29:50.408744] Batch 4 complete: 100 products processed
[2026-01-01T02:29:50.431057] Batch 5 complete: 100 products processed
[2026-01-01T02:29:50.454156] Batch 6 complete: 100 products processed
[2026-01-01T02:29:50.477580] Batch 7 complete: 100 products processed
[2026-01-01T02:29:50.501989] Batch 8 complete: 100 products processed
[2026-01-01T02:29:50.525682] Batch 9 complete: 100 products processed
[2026-01-01T02:29:50.549245] Batch 10 complete: 100 products processed
[2026-01-01T02:29:50.573702] Batch 11 complete: 100 products processed
[2026-01-01T02:29:50.598705] Batch 12 complete: 100 products processed
[2026-01-01T02:29:50.620986] Batch 13 complete: 100 products processed
[2026-01-01T02:29:50.644816] Batch 14 complete: 100 products processed
[2026-01-01T02:29:50.666431] Batch 15 complete: 100 products processed
[2026-01-01T02:29:50.688013] Batch 16 complete: 100 products processed
[2026-01-01T02:29:50.709755] Batch 17 complete: 100 products processed
[2026-01-01T02:29:50.731892] Batch 18 complete: 100 products processed
[2026-01-01T02:29:50.754248] Batch 19 complete: 100 products processed
[2026-01-01T02:29:50.776578] Batch 20 complete: 100 products processed
[2026-01-01T02:29:50.799469] Batch 21 complete: 100 products processed
[2026-01-01T02:29:50.822132] Batch 22 complete: 100 products processed
[2026-01-01T02:29:50.845867] Batch 23 complete: 100 products processed
[2026-01-01T02:29:50.871969] Batch 24 complete: 100 products processed
[2026-01-01T02:29:50.898284] Batch 25 complete: 100 products processed
[2026-01-01T02:29:50.926305] Batch 26 complete: 100 products processed
[2026-01-01T02:29:50.954561] Batch 27 complete: 100 products processed
[2026-01-01T02:29:50.982422] Batch 28 complete: 100 products processed
[2026-01-01T02:29:51.008147] Batch 29 complete: 100 products processed
[2026-01-01T02:29:51.032537] Batch 30 complete: 100 products processed
[2026-01-01T02:29:51.057746] Batch 31 complete: 100 products processed
[2026-01-01T02:29:51.083109] Batch 32 complete: 100 products processed
[2026-01-01T02:29:51.111964] Batch 33 complete: 100 products processed
[2026-01-01T02:29:51.143091] Batch 34 complete: 100 products processed
[2026-01-01T02:29:51.169328] Batch 35 complete: 100 products processed
[2026-01-01T02:29:51.192120] Batch 36 complete: 100 products processed
[2026-01-01T02:29:51.214960] Batch 37 complete: 100 products processed
[2026-01-01T02:29:51.238181] Batch 38 complete: 100 products processed
[2026-01-01T02:29:51.260789] Batch 39 complete: 100 products processed
[2026-01-01T02:29:51.282771] Batch 40 complete: 100 products processed
[2026-01-01T02:29:51.305645] Batch 41 complete: 100 products processed
[2026-01-01T02:29:51.328959] Batch 42 complete: 100 products processed
[2026-01-01T02:29:51.352554] Batch 43 complete: 100 products processed
[2026-01-01T02:29:51.374942] Batch 44 complete: 100 products processed
[2026-01-01T02:29:51.396378] Batch 45 complete: 100 products processed
[2026-01-01T02:29:51.417911] Batch 46 complete: 100 products processed
[2026-01-01T02:29:51.439974] Batch 47 complete: 100 products processed
[2026-01-01T02:29:51.461102] Batch 48 complete: 100 products processed
[2026-01-01T02:29:51.484002] Batch 49 complete: 100 products processed
[2026-01-01T02:29:51.508564] Batch 50 complete: 100 products processed
[2026-01-01T02:29:51.532955] Batch 51 complete: 100 products processed
[2026-01-01T02:29:51.562428] Batch 52 complete: 100 products processed
[2026-01-01T02:29:51.585638] Batch 53 complete: 100 products processed
[2026-01-01T02:29:51.608264] Batch 54 complete: 100 products processed
[2026-01-01T02:29:51.630905] Batch 55 complete: 100 products processed
[2026-01-01T02:29:51.652164] Batch 56 complete: 100 products processed
[2026-01-01T02:29:51.674747] Batch 57 complete: 100 products processed
[2026-01-01T02:29:51.699392] Batch 58 complete: 100 products processed
[2026-01-01T02:29:51.722895] Batch 59 complete: 100 products processed
[2026-01-01T02:29:51.745292] Batch 60 complete: 100 products processed
[2026-01-01T02:29:51.766709] Batch 61 complete: 100 products processed
[2026-01-01T02:29:51.788820] Batch 62 complete: 100 products processed
[2026-01-01T02:29:51.810632] Batch 63 complete: 100 products processed
[2026-01-01T02:29:51.833370] Batch 64 complete: 100 products processed
[2026-01-01T02:29:51.856172] Batch 65 complete: 100 products processed
[2026-01-01T02:29:51.878162] Batch 66 complete: 100 products processed
[2026-01-01T02:29:51.900906] Batch 67 complete: 100 products processed
[2026-01-01T02:29:51.922745] Batch 68 complete: 100 products processed
[2026-01-01T02:29:51.945617] Batch 69 complete: 100 products processed
[2026-01-01T02:29:51.967704] Batch 70 complete: 100 products processed
[2026-01-01T02:29:51.988550] Batch 71 complete: 100 products processed
[2026-01-01T02:29:52.011384] Batch 72 complete: 100 products processed
[2026-01-01T02:29:52.033968] Batch 73 complete: 100 products processed
[2026-01-01T02:29:52.057133] Batch 74 complete: 100 products processed
[2026-01-01T02:29:52.078972] Batch 75 complete: 100 products processed
[2026-01-01T02:29:52.105812] Batch 76 complete: 100 products processed
[2026-01-01T02:29:52.133845] Batch 77 complete: 100 products processed
[2026-01-01T02:29:52.162031] Batch 78 complete: 100 products processed
[2026-01-01T02:29:52.188063] Batch 79 complete: 100 products processed
[2026-01-01T02:29:52.256098] Batch 80 complete: 100 products processed
[2026-01-01T02:29:52.306309] Batch 81 complete: 100 products processed
[2026-01-01T02:29:52.356096] Batch 82 complete: 100 products processed
[2026-01-01T02:29:52.379356] Batch 83 complete: 100 products processed
[2026-01-01T02:29:52.406910] Batch 84 complete: 100 products processed
[2026-01-01T02:29:52.430014] Batch 85 complete: 100 products processed
[2026-01-01T02:29:52.456601] Batch 86 complete: 100 products processed
[2026-01-01T02:29:52.482014] Batch 87 complete: 100 products processed
[2026-01-01T02:29:52.505298] Batch 88 complete: 100 products processed
[2026-01-01T02:29:52.532070] Batch 89 complete: 100 products processed
[2026-01-01T02:29:52.554923] Batch 90 complete: 100 products processed
[2026-01-01T02:29:52.582219] Batch 91 complete: 100 products processed
[2026-01-01T02:29:52.657373] Batch 92 complete: 100 products processed
[2026-01-01T02:29:52.700526] Batch 93 complete: 100 products processed
[2026-01-01T02:29:52.725115] Batch 94 complete: 100 products processed
[2026-01-01T02:29:52.752383] Batch 95 complete: 100 products processed
[2026-01-01T02:29:52.776878] Batch 96 complete: 100 products processed
[2026-01-01T02:29:52.801578] Batch 97 complete: 100 products processed
[2026-01-01T02:29:52.829001] Batch 98 complete: 100 products processed
[2026-01-01T02:29:52.853174] Batch 99 complete: 100 products processed
[2026-01-01T02:29:52.881097] Batch 100 complete: 100 products processed
[2026-01-01T02:29:52.912352] Batch 101 complete: 100 products processed
[2026-01-01T02:29:52.942501] Batch 102 complete: 100 products processed
[2026-01-01T02:29:52.963823] Batch 103 complete: 100 products processed
[2026-01-01T02:29:52.990814] Batch 104 complete: 100 products processed
[2026-01-01T02:29:53.015382] Batch 105 complete: 100 products processed
[2026-01-01T02:29:53.038015] Batch 106 complete: 100 products processed
[2026-01-01T02:29:53.066587] Batch 107 complete: 100 products processed
[2026-01-01T02:29:53.089697] Batch 108 complete: 100 products processed
[2026-01-01T02:29:53.115198] Batch 109 complete: 100 products processed
[2026-01-01T02:29:53.137720] Batch 110 complete: 100 products processed
[2026-01-01T02:29:53.161042] Batch 111 complete: 100 products processed
[2026-01-01T02:29:53.188341] Batch 112 complete: 100 products processed
[2026-01-01T02:29:53.208973] Batch 113 complete: 100 products processed
[2026-01-01T02:29:53.234859] Batch 114 complete: 100 products processed
[2026-01-01T02:29:53.257756] Batch 115 complete: 100 products processed
[2026-01-01T02:29:53.284307] Batch 116 complete: 100 products processed
[2026-01-01T02:29:53.306885] Batch 117 complete: 100 products processed
[2026-01-01T02:29:53.330543] Batch 118 complete: 100 products processed
[2026-01-01T02:29:53.357235] Batch 119 complete: 100 products processed
[2026-01-01T02:29:53.379080] Batch 120 complete: 100 products processed
[2026-01-01T02:29:53.405894] Batch 121 complete: 100 products processed
[2026-01-01T02:29:53.428183] Batch 122 complete: 100 products processed
[2026-01-01T02:29:53.449740] Batch 123 complete: 100 products processed
[2026-01-01T02:29:53.475625] Batch 124 complete: 100 products processed
[2026-01-01T02:29:53.497667] Batch 125 complete: 100 products processed
[2026-01-01T02:29:53.525343] Batch 126 complete: 100 products processed
[2026-01-01T02:29:53.547949] Batch 127 complete: 100 products processed
[2026-01-01T02:29:53.571514] Batch 128 complete: 100 products processed
[2026-01-01T02:29:53.597905] Batch 129 complete: 100 products processed
[2026-01-01T02:29:53.621866] Batch 130 complete: 100 products processed
[2026-01-01T02:29:53.656956] Batch 131 complete: 100 products processed
[2026-01-01T02:29:53.679291] Batch 132 complete: 100 products processed
[2026-01-01T02:29:53.704884] Batch 133 complete: 100 products processed
[2026-01-01T02:29:53.727441] Batch 134 complete: 100 products processed
[2026-01-01T02:29:53.757122] Batch 135 complete: 100 products processed
[2026-01-01T02:29:53.784538] Batch 136 complete: 100 products processed
[2026-01-01T02:29:53.807948] Batch 137 complete: 100 products processed
[2026-01-01T02:29:53.837244] Batch 138 complete: 100 products processed
[2026-01-01T02:29:53.859484] Batch 139 complete: 100 products processed
[2026-01-01T02:29:53.888791] Batch 140 complete: 100 products processed
[2026-01-01T02:29:53.911716] Batch 141 complete: 100 products processed
[2026-01-01T02:29:53.939029] Batch 142 complete: 100 products processed
[2026-01-01T02:29:53.962014] Batch 143 complete: 100 products processed
[2026-01-01T02:29:53.983971] Batch 144 complete: 100 products processed
[2026-01-01T02:29:54.009039] Batch 145 complete: 100 products processed
