[2026-01-01T02:25:47.200874] RUN START: uncoded_amz_p5_2025 | Run: run_1
[2026-01-01T02:25:47.201261] ================================================================================
[2026-01-01T02:25:47.201303] STARTING PRODUCTION ORCHESTRATOR
[2026-01-01T02:25:47.201337] ================================================================================
[2026-01-01T02:25:47.201366] Input file: data/input/uncoded_amz_p5_2025.csv
[2026-01-01T02:25:47.201396] Total records: 31446
[2026-01-01T02:25:47.201427] Max workers: 5
[2026-01-01T02:25:47.201461] Batch size: 100
[2026-01-01T02:25:47.201495] File ID: amz_p5_2025
[2026-01-01T02:25:47.201528] Run ID: run_1
[2026-01-01T02:25:47.243321] Batch 1 complete: 100 products processed
[2026-01-01T02:25:47.266846] Batch 2 complete: 100 products processed
[2026-01-01T02:25:47.290181] Batch 3 complete: 100 products processed
[2026-01-01T02:25:47.312931] Batch 4 complete: 100 products processed
[2026-01-01T02:25:47.334436] Batch 5 complete: 100 products processed
[2026-01-01T02:25:47.356058] Batch 6 complete: 100 products processed
[2026-01-01T02:25:47.378466] Batch 7 complete: 100 products processed
[2026-01-01T02:25:47.401310] Batch 8 complete: 100 products processed
[2026-01-01T02:25:47.422547] Batch 9 complete: 100 products processed
[2026-01-01T02:25:47.445207] Batch 10 complete: 100 products processed
[2026-01-01T02:25:47.467517] Batch 11 complete: 100 products processed
[2026-01-01T02:25:47.488399] Batch 12 complete: 100 products processed
[2026-01-01T02:25:47.509187] Batch 13 complete: 100 products processed
[2026-01-01T02:25:47.530284] Batch 14 complete: 100 products processed
[2026-01-01T02:25:47.551229] Batch 15 complete: 100 products processed
[2026-01-01T02:25:47.572368] Batch 16 complete: 100 products processed
[2026-01-01T02:25:47.594570] Batch 17 complete: 100 products processed
[2026-01-01T02:25:47.616860] Batch 18 complete: 100 products processed
[2026-01-01T02:25:47.638542] Batch 19 complete: 100 products processed
[2026-01-01T02:25:47.660912] Batch 20 complete: 100 products processed
[2026-01-01T02:25:47.682696] Batch 21 complete: 100 products processed
[2026-01-01T02:25:47.704900] Batch 22 complete: 100 products processed
[2026-01-01T02:25:47.727295] Batch 23 complete: 100 products processed
[2026-01-01T02:25:47.748373] Batch 24 complete: 100 products processed
[2026-01-01T02:25:47.769923] Batch 25 complete: 100 products processed
[2026-01-01T02:25:47.791202] Batch 26 complete: 100 products processed
[2026-01-01T02:25:47.813671] Batch 27 complete: 100 products processed
[2026-01-01T02:25:47.835824] Batch 28 complete: 100 products processed
[2026-01-01T02:25:47.858441] Batch 29 complete: 100 products processed
[2026-01-01T02:25:47.879331] Batch 30 complete: 100 products processed
[2026-01-01T02:25:47.899880] Batch 31 complete: 100 products processed
[2026-01-01T02:25:47.921258] Batch 32 complete: 100 products processed
[2026-01-01T02:25:47.943470] Batch 33 complete: 100 products processed
[2026-01-01T02:25:47.964868] Batch 34 complete: 100 products processed
[2026-01-01T02:25:47.986939] Batch 35 complete: 100 products processed
[2026-01-01T02:25:48.008072] Batch 36 complete: 100 products processed
[2026-01-01T02:25:48.030450] Batch 37 complete: 100 products processed
[2026-01-01T02:25:48.052409] Batch 38 complete: 100 products processed
[2026-01-01T02:25:48.074762] Batch 39 complete: 100 products processed
[2026-01-01T02:25:48.096945] Batch 40 complete: 100 products processed
[2026-01-01T02:25:48.117739] Batch 41 complete: 100 products processed
[2026-01-01T02:25:48.139871] Batch 42 complete: 100 products processed
[2026-01-01T02:25:48.161297] Batch 43 complete: 100 products processed
[2026-01-01T02:25:48.182679] Batch 44 complete: 100 products processed
[2026-01-01T02:25:48.204236] Batch 45 complete: 100 products processed
[2026-01-01T02:25:48.225371] Batch 46 complete: 100 products processed
[2026-01-01T02:25:48.253178] Batch 47 complete: 100 products processed
[2026-01-01T02:25:48.275627] Batch 48 complete: 100 products processed
[2026-01-01T02:25:48.298230] Batch 49 complete: 100 products processed
[2026-01-01T02:25:48.320514] Batch 50 complete: 100 products processed
[2026-01-01T02:25:48.341884] Batch 51 complete: 100 products processed
[2026-01-01T02:25:48.363048] Batch 52 complete: 100 products processed
[2026-01-01T02:25:48.384652] Batch 53 complete: 100 products processed
[2026-01-01T02:25:48.406357] Batch 54 complete: 100 products processed
[2026-01-01T02:25:48.428605] Batch 55 complete: 100 products processed
[2026-01-01T02:25:48.450863] Batch 56 complete: 100 products processed
[2026-01-01T02:25:48.472938] Batch 57 complete: 100 products processed
