UPC,Description,Brand,NW Category,NW Subcategory,NW Sub Brand 1,NW Sub Brand 2,NW Sub Brand 3,Potency,FORM,AGE,GENDER,COMPANY,FUNCTIONAL INGREDIENT,HEALTH FOCUS,SIZE,HIGH LEVEL CATEGORY,NW_UPC,Unit of Measure,Pack Count,Organic,other ing. 2,other ing. 3,other ing. 4,other ing. 5,other ing. 6,other ing. 7,other ing. 8,other ing. 9,other ing. 10,other ing. 11,other ing. 12,other ing. 13,other ing. 14,other ing. 15,other ing. 16,other ing. 17,other ing. 18,other ing. 19,other ing. 20,Spare1,Spare2,Spare3,Spare4,Spare5
000000000262740184,baths and bathing in classical antiquity,mit press,REMOVE,,,,,,,,,mit press,,,,REMOVE,000000000262740184,,,,,,,,,,,,,,,,,,,,,,,,,,,
000000000312535333,the long way home: a novel,st. martin's griffin,,,,,,,REMOVE,REMOVE,REMOVE,st. martin's griffin,value,SLEEP,REMOVE,REMOVE,000000000312535333,REMOVE,REMOVE,REMOVE,reasoning,,,,,,,,,,,,,,,,,,,,,,,
000000000323810411,"plastic surgery: volume 4: trunk and lower extremity (plastic surgery, 4)",elsevier,REMOVE,,,,,,,,,elsevier,,,,REMOVE,000000000323810411,,,,,,,,,,,,,,,,,,,,,,,,,,,
000000000340954698,totally forgiving ourselves,hodder & stoughton,,,,,,,REMOVE,REMOVE,REMOVE,hodder & stoughton,,UNKNOWN,N/A,REMOVE,000000000340954698,N/A,N/A,REMOVE,,,,,,,,,,,,,,,,,,,,,,,,
000000000470026251,complementary medicine for dummies,wiley,REMOVE,,,,,,,,,wiley,,,,REMOVE,000000000470026251,,,,,,,,,,,,,,,,,,,,,,,,,,,
000000000470432101,frommer's italy day by day,wiley,,,,,,,REMOVE,REMOVE,REMOVE,wiley,value,SLEEP,REMOVE,REMOVE,000000000470432101,REMOVE,REMOVE,REMOVE,reasoning,,,,,,,,,,,,,,,,,,,,,,,
000000000613081633,junie b. jones is a beauty shop guy,turtleback,REMOVE,,,,,,,,,turtleback,,,,REMOVE,000000000613081633,,,,,,,,,,,,,,,,,,,,,,,,,,,
000000000664253598,energizing the congregation: images that shape your church's ministry,westminster john knox press,REMOVE,,,,,,,,,westminster john knox press,,,,REMOVE,000000000664253598,,,,,,,,,,,,,,,,,,,,,,,,,,,
000000000718035453,"buenos dias, espiritu santo (spanish edition)",benny hinn,REMOVE,,,,,,,,,benny hinn,,,,REMOVE,000000000718035453,,,,,,,,,,,,,,,,,,,,,,,,,,,
000000000736802274,butterfly eggs (pebble books),helen frost,REMOVE,,,,,,,,,helen frost,,,,REMOVE,000000000736802274,,,,,,,,,,,,,,,,,,,,,,,,,,,
000000000736922849,10 lifesavers for every couple: help and hope when your relationship hits a rough spot,harvest house publishers,REMOVE,,,,,,,,,harvest house publishers,,,,REMOVE,000000000736922849,,,,,,,,,,,,,,,,,,,,,,,,,,,
000000000743205049,cat's meow: a novel,touchstone,REMOVE,,,,,,,,,touchstone,,,,REMOVE,000000000743205049,,,,,,,,,,,,,,,,,,,,,,,,,,,
000000000789485486,eye wonder: big cats (eye wonder),dk,REMOVE,,,,,,,,,dk,,,,REMOVE,000000000789485486,,,,,,,,,,,,,,,,,,,,,,,,,,,
000000000792836634,child's play,mgm (lasers),REMOVE,,,,,,,,,mgm (lasers),,,,REMOVE,000000000792836634,,,,,,,,,,,,,,,,,,,,,,,,,,,
000000000807583626,humpty's fall (urgency emergency!),albert whitman & company,REMOVE,,,,,,,,,albert whitman & company,,,,REMOVE,000000000807583626,,,,,,,,,,,,,,,,,,,,,,,,,,,
000000000815122802,anesthetic and obstetric management of high-risk pregnancy,mosby,REMOVE,,,,,,,,,mosby,,,,REMOVE,000000000815122802,,,,,,,,,,,,,,,,,,,,,,,,,,,
000000001096383144,"surgical precision (dr. beckett campbell, medical examiner)",independently published,REMOVE,,,,,,,,,independently published,,,,REMOVE,000000001096383144,,,,,,,,,,,,,,,,,,,,,,,,,,,
000000001405142685,evidence-based paediatric oncology,wiley-blackwell,,,,,,,REMOVE,REMOVE,REMOVE,wiley-blackwell,value,SLEEP,REMOVE,REMOVE,000000001405142685,REMOVE,REMOVE,REMOVE,reasoning,,,,,,,,,,,,,,,,,,,,,,,
000000001444102826,"manual of definitive surgical trauma care, 3rd edition",crc press,REMOVE,,,,,,,,,crc press,,,,REMOVE,000000001444102826,,,,,,,,,,,,,,,,,,,,,,,,,,,
000000001461354072,thoracic trauma and critical care,springer,REMOVE,,,,,,,,,springer,,,,REMOVE,000000001461354072,,,,,,,,,,,,,,,,,,,,,,,,,,,
000000001471880613,englishfortheibmyp2(capableâproficient/phases3-4;5-6):byconcept:hoddereducationgroup,hodder education,REMOVE,,,,,,,,,hodder education,,,,REMOVE,000000001471880613,,,,,,,,,,,,,,,,,,,,,,,,,,,
000000001481956728,chinese acupuncture of stems and branches with calendars,createspace,REMOVE,,,,,,,,,createspace,,,,REMOVE,000000001481956728,,,,,,,,,,,,,,,,,,,,,,,,,,,
000000001491047747,"true healing: spiritual medicine for every illness -- a mind-body guide for managing stress, trauma, disease, and pain",createspace,REMOVE,,,,,,,,,createspace,,,,REMOVE,000000001491047747,,,,,,,,,,,,,,,,,,,,,,,,,,,
000000001494858959,kinetic pulse: a study in bullet impact,createspace,REMOVE,,,,,,,,,createspace,,,,REMOVE,000000001494858959,,,,,,,,,,,,,,,,,,,,,,,,,,,
000000001511951087,benedict's bargain bride (dalton brides),createspace,REMOVE,,,,,,,,,createspace,,,,REMOVE,000000001511951087,,,,,,,,,,,,,,,,,,,,,,,,,,,
000000001514379961,"cycling - chris smith: ultimate cycling hiit bike training guide! proven strategies to get fitter, faster, & stronger through the power of high intensity interval training bike workouts",createspace,REMOVE,,,,,,,,,createspace,,,,REMOVE,000000001514379961,,,,,,,,,,,,,,,,,,,,,,,,,,,
000000001520488009,sarazen's claim: a sarazen saga novel,independently published,REMOVE,,,,,,,,,independently published,,,,REMOVE,000000001520488009,,,,,,,,,,,,,,,,,,,,,,,,,,,
000000001542619114,sacred spirit of the gorge: columbia river gorge flower essences & essences of place,createspace,REMOVE,,,,,,,,,createspace,,,,REMOVE,000000001542619114,,,,,,,,,,,,,,,,,,,,,,,,,,,
000000001546684751,balanced,createspace,REMOVE,,,,,,,,,createspace,,,,REMOVE,000000001546684751,,,,,,,,,,,,,,,,,,,,,,,,,,,
000000001555611435,your pregnancy week by week (3) (your pregnancy series),da capo lifelong books,REMOVE,,,,,,,,,da capo lifelong books,,,,REMOVE,000000001555611435,,,,,,,,,,,,,,,,,,,,,,,,,,,
