keyword,ingredient,nw_category,nw_subcategory,old_nw_category,old_nw_subcategory,change_source,change_notes
5 htp,5HTP,BASIC VITAMINS & MINERALS,DHEA & PREGNENOLONE & HORMONES,,,Original (No change needed),Category/Subcategory already using NEW taxonomy
5-htp,5HTP,BASIC VITAMINS & MINERALS,DHEA & PREGNENOLONE & HORMONES,,,Original (No change needed),Category/Subcategory already using NEW taxonomy
5htp,5HTP,BASIC VITAMINS & MINERALS,DHEA & PREGNENOLONE & HORMONES,,,Original (No change needed),Category/Subcategory already using NEW taxonomy
7 keto,Seven-Keto,BASIC VITAMINS & MINERALS,DHEA & PREGNENOLONE & HORMONES,,,Original (No change needed),Category/Subcategory already using NEW taxonomy
7-keto,Seven-Keto,BASIC VITAMINS & MINERALS,DHEA & PREGNENOLONE & HORMONES,,,Original (No change needed),Category/Subcategory already using NEW taxonomy
a d k,Vitamin A D K,BASIC VITAMINS & MINERALS,LETTER VITAMINS,,,Original (No change needed),Category/Subcategory already using NEW taxonomy
a-d-k,Vitamin A D K,BASIC VITAMINS & MINERALS,LETTER VITAMINS,,,Original (No change needed),Category/Subcategory already using NEW taxonomy
acacia fiber,Acacia Fiber,PROBIOTICS+,FIBER PRODUCTS & LAXATIVES,FIBER PRODUCTS & LAXATIVES,FIBER PRODUCTS & LAXATIVES,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'FIBER PRODUCTS & LAXATIVES/FIBER PRODUCTS & LAXATIVES' → NEW taxonomy: 'PROBIOTICS+/FIBER PRODUCTS & LAXATIVES'
acacia senegal,Acacia Fiber,PROBIOTICS+,FIBER PRODUCTS & LAXATIVES,FIBER PRODUCTS & LAXATIVES,FIBER PRODUCTS & LAXATIVES,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'FIBER PRODUCTS & LAXATIVES/FIBER PRODUCTS & LAXATIVES' → NEW taxonomy: 'PROBIOTICS+/FIBER PRODUCTS & LAXATIVES'
acai,Acai,HERBAL REMEDIES,FOOD SUPPLEMENTS,,,Original (No change needed),Category/Subcategory already using NEW taxonomy
acemannan hydrogel,Acemannan Hydrogel,OTC,OTC - NON-SPECIFIC,OTC,OTC,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'OTC/OTC' → NEW taxonomy: 'OTC/OTC - NON-SPECIFIC'
acetaminophen,Acetaminophen,OTC,OTC - NON-SPECIFIC,OTC,OTC,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'OTC/OTC' → NEW taxonomy: 'OTC/OTC - NON-SPECIFIC'
acetyl l carnitine,Acetyl L Carnitine,BASIC VITAMINS & MINERALS,AMINO ACIDS,AMINO ACIDS,AMINO ACIDS,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'AMINO ACIDS/AMINO ACIDS' → NEW taxonomy: 'BASIC VITAMINS & MINERALS/AMINO ACIDS'
acetyl l-carnitine,Acetyl L Carnitine,BASIC VITAMINS & MINERALS,AMINO ACIDS,AMINO ACIDS,AMINO ACIDS,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'AMINO ACIDS/AMINO ACIDS' → NEW taxonomy: 'BASIC VITAMINS & MINERALS/AMINO ACIDS'
